symbol,company_name,exchange_x,high,low,close,volume,change,total_traded,conId,secType,exchange,primaryExchange,currency,marketName,minTick,orderTypes,validExchanges,priceMagnifier,longName,industry,category,subcategory,tradingHours,timeZoneId,liquidHours,stockType,bondType,couponType,callable,putable,coupon,convertable,maturity,issueDate,nextOptionDate,nextOptionPartial,nextOptionType,marketRuleIds
PLG,Propertylink Group,ASX,0.185,0.18,0.18,66971.0,-0.015,12054.78,515336325,STK,SMART,ASX,AUD,PLG,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,PEARL GULL IRON LTD,Basic Materials,Iron/Steel,Metal-Iron,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,COMMON,,,False,False,0.0,False,,,,False,,"614,614,614"
PLS,Pilbara Minerals Limited,ASX,2.19,2.13,2.14,23704083.0,0.0,50726737.620000005,71294096,STK,SMART,ASX,AUD,PLS,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,PILBARA MINERALS LTD,Basic Materials,Mining,Diversified Minerals,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,COMMON,,,False,False,0.0,False,,,,False,,"614,614,614"
PLT,Polartechnics Ltd,ASX,1.44,1.385,1.39,92131.0,-0.02,128062.09,446842171,STK,SMART,ASX,AUD,PLT,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,PLENTI GROUP LTD,Financial,Diversified Finan Serv,Finance-Consumer Loans,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,COMMON,,,False,False,0.0,False,,,,False,,"614,614,614"
PLY,Polymetals Mining Limited,ASX,0.395,0.395,0.395,3602.0,0.005,1422.79,460607390,STK,SMART,ASX,AUD,PLY,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,PLAYSIDE STUDIOS LTD,Technology,Software,Entertainment Software,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,COMMON,,,False,False,0.0,False,,,,False,,"614,614,614"
PME,Pro Medicus Ltd,ASX,59.0,57.88,58.0,108792.0,-0.93,6309936.0,14065200,STK,SMART,ASX,AUD,PME,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,PRO MEDICUS LIMITED,Technology,Software,Medical Information Sys,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,COMMON,,,False,False,0.0,False,,,,False,,"614,614,614"
PMEKOH,PMEKOH,ASX,19.68,19.68,19.68,0.0,0.0,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMGOLD,Perth Mint Gold,ASX,24.06,23.9,24.06,53015.0,-0.34,1275540.9,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMVKOA,Premier Investments Limited,ASX,10.91,10.91,10.91,0.0,0.0,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMVKOP,Premier Investments Limited,ASX,5.7,5.7,5.7,0.0,0.0,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNI,Pinnacle Investment Management Group Ltd,ASX,18.6,17.79,18.01,593404.0,0.0,10687206.04,245496767,STK,SMART,ASX,AUD,PNI,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,PINNACLE INVESTMENT MANAGEME,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,COMMON,,,False,False,0.0,False,,,,False,,"614,614,614"
